id,mun_ibge6,mun_ibge7,mun_municipio,mun_codreg,mun_regional,mun_codmac,mun_macroreg,features_geometry_coordinatesp,mun_longitude,mun_latitude
62,210355,2103554,Conceição do Lago-Açu,21002,Bacabal,2101,Norte,"[-44.89337,-3.83446]",-44.8933,-3.8344
63,210360,2103604,Coroatá,21007,Codó,2102,Leste,"[-44.12437,-4.13046]",-44.1243,-4.1304
64,210370,2103703,Cururupu,21011,Pinheiro,2101,Norte,"[-44.86837,-1.82845]",-44.8683,-1.8284
65,210375,2103752,Davinópolis,21008,Imperatriz,2103,Sul,"[-47.42639,-5.55847]",-47.4263,-5.5584
66,210380,2103802,Dom Pedro,21012,Presidente Dutra,2102,Leste,"[-44.43637,-5.03347]",-44.4363,-5.0334
67,210390,2103901,Duque Bacelar,21005,Caxias,2101,Leste,"[-42.94436,-4.15646]",-42.9443,-4.1564
68,210400,2104008,Esperantinópolis,21010,Pedreiras,2102,Leste,"[-44.68837,-4.88347]",-44.6883,-4.8834
69,210405,2104057,Estreito,21008,Imperatriz,2103,Sul,"[-47.45139,-6.56147]",-47.4513,-6.5614
70,210407,2104073,Feira Nova do Maranhão,21003,Balsas,2103,Sul,"[-46.68639,-6.96048]",-46.6863,-6.9604
71,210408,2104081,Fernando Falcão,21004,Barra do Corda,2103,Sul,"[-44.89338,-6.15247]",-44.8933,-6.1524
72,210409,2104099,Formosa da Serra Negra,21003,Balsas,2103,Sul,"[-46.19139,-6.43547]",-46.1913,-6.4354
73,210410,2104107,Fortaleza dos Nogueiras,21003,Balsas,2103,Sul,"[-46.17739,-6.96448]",-46.1773,-6.9644
74,210420,2104206,Fortuna,21012,Presidente Dutra,2102,Leste,"[-44.15837,-5.73347]",-44.1583,-5.7334
75,210430,2104305,Godofredo Viana,21019,Zé Doca,2101,Norte,"[-45.78038,-1.40344]",-45.7803,-1.4034
76,210440,2104404,Gonçalves Dias,21012,Presidente Dutra,2102,Leste,"[-44.29937,-5.15147]",-44.2993,-5.1514
77,210450,2104503,Governador Archer,21012,Presidente Dutra,2102,Leste,"[-44.27137,-5.02247]",-44.2713,-5.0224
78,210455,2104552,Governador Edison Lobão,21008,Imperatriz,2103,Sul,"[-47.36139,-5.74947]",-47.3613,-5.7494
79,210460,2104602,Governador Eugênio Barros,21012,Presidente Dutra,2102,Leste,"[-44.24737,-5.32347]",-44.2473,-5.3234
80,210462,2104628,Governador Luiz Rocha,21012,Presidente Dutra,2102,Leste,"[-44.07437,-5.46947]",-44.0743,-5.4694
81,210465,2104651,Governador Newton Bello,21014,Santa Inês,2101,Norte,"[-45.67638,-3.42646]",-45.6763,-3.4264
82,210467,2104677,Governador Nunes Freire,21019,Zé Doca,2101,Norte,"[-45.88538,-2.12645]",-45.8853,-2.1264
